Age,Income,Gender,Marital_Status,Education_Level,Purchase_History,Product_Interest,Purchase
42,75419,Female,Divorced,High School,8,10,0
31,69145,Male,Married,Bachelor’s,9,8,0
67,125432,Female,Divorced,High School,16,8,1
26,97425,Male,Divorced,Bachelor’s,11,4,0
43,112949,Female,Single,Bachelor’s,5,7,1
70,97811,Female,Single,Bachelor’s,18,10,0
19,22461,Female,Single,Bachelor’s,10,1,0
37,34291,Male,Married,Bachelor’s,8,6,1
45,66804,Female,Married,High School,20,6,0
64,96971,Female,Divorced,Bachelor’s,5,6,1
24,113471,Female,Married,Master’s,15,2,0
61,84946,Male,Divorced,Master’s,19,8,1
25,118989,Male,Married,Bachelor’s,15,5,1
64,104080,Male,Married,Master’s,5,5,0
52,141719,Female,Married,PhD,4,2,0
31,81332,Male,Single,High School,20,4,0
34,97794,Female,Married,High School,3,9,0
53,50841,Male,Single,Bachelor’s,1,9,1
67,144447,Male,Single,Bachelor’s,5,6,1
57,140029,Female,Married,PhD,8,9,1
21,68758,Male,Divorced,Bachelor’s,16,4,1
19,134726,Female,Divorced,Master’s,13,1,1
23,96272,Female,Divorced,PhD,6,2,1
59,57643,Male,Married,Master’s,18,1,1
21,70408,Female,Divorced,High School,0,8,0
46,63950,Female,Single,Master’s,19,9,0
35,76849,Male,Divorced,High School,14,10,0
43,120500,Male,Married,Master’s,17,6,0
61,48044,Female,Divorced,High School,2,2,0
51,125469,Male,Single,Bachelor’s,17,6,0
27,145588,Female,Married,Master’s,1,9,0
53,35997,Female,Divorced,High School,9,3,0
31,99751,Male,Married,Master’s,10,9,1
48,118605,Male,Married,PhD,2,2,0
65,43911,Male,Married,Bachelor’s,6,5,0
32,75533,Male,Divorced,High School,7,2,0
25,102566,Female,Married,PhD,18,7,1
31,114870,Female,Divorced,Master’s,17,10,0
40,34571,Male,Single,PhD,12,9,1
57,128255,Male,Divorced,Master’s,12,7,1
38,149226,Female,Single,Bachelor’s,18,5,0
33,114463,Female,Divorced,PhD,11,4,1
62,77941,Female,Married,Bachelor’s,16,4,0
35,78005,Female,Divorced,High School,11,10,0
64,106250,Male,Married,Master’s,12,8,0
70,78712,Female,Single,Master’s,11,10,1
41,63541,Female,Divorced,Bachelor’s,18,10,0
43,43387,Male,Married,Bachelor’s,13,10,0
42,113980,Female,Single,High School,6,10,0
62,68908,Female,Single,PhD,12,10,1
58,105457,Male,Divorced,Master’s,5,1,1
46,33057,Male,Single,Master’s,18,5,1
32,84028,Male,Married,High School,18,2,1
62,130804,Female,Single,High School,3,9,0
18,139246,Female,Single,Bachelor’s,18,7,0
42,75731,Male,Married,Bachelor’s,8,10,1
24,44858,Male,Single,PhD,15,8,0
26,68689,Female,Single,High School,3,6,1
41,64638,Male,Single,PhD,5,9,0
18,111598,Male,Single,High School,7,6,0
61,122386,Male,Married,Master’s,15,7,1
25,66486,Female,Single,High School,4,7,1
41,40567,Female,Married,High School,20,9,0
28,49739,Female,Single,Master’s,9,8,1
68,77804,Female,Single,High School,12,1,0
34,128821,Female,Single,PhD,13,4,0
25,23754,Female,Single,Bachelor’s,6,7,0
52,47044,Male,Married,Bachelor’s,19,8,0
52,87260,Female,Married,PhD,5,7,1
50,86912,Female,Married,Master’s,6,3,0
22,145623,Male,Divorced,High School,4,4,0
59,28706,Female,Single,PhD,20,7,0
56,28894,Female,Single,Bachelor’s,17,8,1
58,38037,Male,Married,Bachelor’s,11,7,0
45,103986,Male,Divorced,PhD,5,6,1
24,101942,Male,Single,Bachelor’s,0,9,1
26,71612,Female,Married,PhD,3,9,1
25,49725,Male,Single,Bachelor’s,18,7,1
29,25926,Female,Single,PhD,11,8,1
51,124555,Female,Married,High School,14,6,1
50,29496,Female,Married,High School,2,1,1
65,76447,Female,Single,High School,19,1,0
40,121604,Male,Single,High School,7,6,0
41,49806,Male,Married,Bachelor’s,10,2,1
54,108199,Female,Single,Master’s,15,8,1
52,61321,Male,Single,PhD,8,1,1
61,142041,Female,Married,Master’s,2,2,0
57,122031,Female,Single,Bachelor’s,4,8,1
39,85095,Female,Single,Bachelor’s,19,6,0
44,42656,Male,Divorced,Master’s,13,10,0
52,75147,Female,Married,Master’s,14,2,1
18,111396,Female,Divorced,Bachelor’s,5,2,0
52,69666,Male,Divorced,Bachelor’s,3,7,1
54,102368,Male,Divorced,PhD,7,5,1
64,58787,Male,Single,High School,18,5,1
31,133767,Male,Single,High School,4,8,0
20,82946,Female,Divorced,PhD,12,7,1
18,41727,Male,Divorced,Master’s,15,9,0
22,128351,Female,Divorced,Bachelor’s,0,4,1
43,115081,Male,Single,Master’s,12,10,1
31,142721,Male,Divorced,High School,10,4,1
56,130058,Male,Divorced,High School,20,2,1
44,88056,Male,Married,Master’s,7,3,1
26,23081,Male,Married,High School,7,1,0
32,54196,Male,Single,Bachelor’s,13,1,1
32,56735,Female,Married,PhD,12,7,1
43,124749,Male,Married,Master’s,2,5,1
59,100102,Male,Married,Bachelor’s,3,3,0
30,99578,Male,Single,Bachelor’s,19,7,1
68,45498,Male,Married,High School,14,2,1
49,96865,Female,Single,Bachelor’s,14,3,1
56,51656,Male,Divorced,Master’s,20,1,1
66,87695,Male,Married,Bachelor’s,12,8,0
69,57900,Male,Single,PhD,8,2,1
49,148392,Male,Married,Bachelor’s,9,7,0
21,137235,Female,Divorced,Bachelor’s,11,9,0
47,104899,Male,Single,PhD,13,6,0
54,67701,Female,Single,Bachelor’s,0,2,0
40,128777,Male,Single,Bachelor’s,13,2,1
56,39033,Female,Divorced,High School,13,9,1
62,143193,Female,Divorced,Master’s,7,10,0
32,30805,Male,Divorced,High School,15,8,0
60,55851,Male,Single,Master’s,13,9,0
46,46832,Female,Divorced,PhD,0,4,1
53,83437,Female,Married,PhD,15,4,0
30,135725,Male,Divorced,PhD,17,2,0
49,33944,Female,Single,Master’s,6,10,0
24,39873,Female,Married,Master’s,14,1,0
68,60372,Female,Divorced,Master’s,16,10,0
39,109464,Male,Married,PhD,18,4,1
45,35379,Female,Married,Master’s,12,10,0
19,137322,Female,Single,Bachelor’s,8,10,1
59,56751,Female,Married,High School,14,8,1
62,120082,Male,Married,PhD,2,2,1
70,109822,Male,Single,High School,0,8,1
23,25110,Female,Single,Bachelor’s,15,1,1
45,74341,Male,Single,Master’s,7,1,0
45,32087,Female,Married,High School,12,4,1
61,43762,Male,Married,Bachelor’s,7,7,1
61,135812,Male,Married,Bachelor’s,16,9,0
37,102617,Female,Single,High School,13,5,1
47,120483,Male,Divorced,PhD,20,2,0
28,29596,Male,Married,High School,20,7,0
45,123555,Male,Divorced,PhD,6,2,0
42,127539,Female,Single,Master’s,14,9,0
56,38313,Male,Married,PhD,15,9,0
50,133175,Male,Divorced,Master’s,18,3,1
18,86549,Female,Married,High School,5,8,0
44,134914,Male,Married,Master’s,0,4,0
69,43705,Male,Married,Bachelor’s,11,3,1
30,87364,Male,Divorced,Master’s,17,1,1
58,93445,Male,Single,PhD,15,5,1
20,123892,Male,Married,PhD,11,4,1
56,98645,Female,Single,PhD,19,1,0
23,22023,Female,Single,Master’s,12,10,1
25,139654,Male,Divorced,PhD,7,8,0
44,79796,Male,Divorced,PhD,0,8,1
26,100073,Male,Single,Bachelor’s,20,8,1
54,112197,Female,Married,Master’s,6,3,1
50,84429,Female,Divorced,Bachelor’s,14,6,1
68,124195,Male,Married,PhD,12,7,1
59,81627,Male,Married,PhD,12,9,0
61,53848,Female,Married,PhD,8,5,0
41,57804,Male,Single,Master’s,14,9,0
32,35379,Female,Married,High School,3,6,1
49,79664,Female,Single,PhD,12,10,0
49,47766,Male,Single,PhD,11,10,1
41,129126,Female,Married,PhD,4,10,1
58,88099,Male,Married,PhD,6,4,0
69,56060,Male,Married,Master’s,7,1,0
66,114733,Male,Married,High School,4,1,1
66,89122,Male,Single,High School,8,10,1
69,36087,Male,Married,High School,13,5,0
29,68868,Male,Married,PhD,11,3,1
56,139119,Female,Single,PhD,3,5,0
19,43225,Female,Divorced,High School,19,5,0
20,115286,Female,Divorced,High School,7,1,1
66,26643,Female,Single,PhD,16,8,1
54,113059,Male,Divorced,PhD,7,5,1
66,56727,Female,Single,Bachelor’s,20,5,1
34,31005,Female,Married,Bachelor’s,0,9,0
66,129079,Female,Married,Bachelor’s,19,8,1
19,85697,Male,Divorced,High School,1,1,0
19,36029,Female,Married,Master’s,3,3,0
45,135281,Male,Divorced,PhD,20,7,1
40,34226,Female,Divorced,Bachelor’s,0,1,0
54,83646,Male,Married,Master’s,6,1,1
49,80603,Male,Married,PhD,0,5,1
50,48731,Female,Divorced,Master’s,8,9,0
18,129458,Male,Married,High School,2,6,0
36,130384,Male,Single,High School,11,10,0
19,88926,Female,Married,High School,18,2,1
70,25997,Female,Married,Bachelor’s,14,9,1
61,75506,Female,Single,PhD,15,6,0
43,98229,Male,Married,High School,9,5,1
49,69815,Male,Married,Bachelor’s,5,5,1
23,62092,Male,Divorced,Bachelor’s,16,3,0
49,82539,Female,Married,Bachelor’s,20,6,1
21,86077,Male,Married,Bachelor’s,16,4,0
28,41817,Male,Single,High School,20,10,0
34,57861,Male,Divorced,Bachelor’s,18,2,0
55,33428,Male,Divorced,High School,17,3,1
41,63934,Male,Divorced,High School,10,9,0
22,135555,Male,Married,Bachelor’s,6,9,0
69,134367,Male,Divorced,High School,9,6,0
51,30258,Female,Single,PhD,6,10,0
23,77775,Female,Divorced,PhD,4,10,1
39,101580,Female,Single,Master’s,11,9,0
28,114947,Male,Divorced,PhD,15,4,1
65,25469,Male,Divorced,High School,20,5,0
33,48854,Female,Single,High School,17,10,1
50,26256,Male,Divorced,PhD,2,6,1
26,144086,Female,Divorced,Bachelor’s,19,9,1
23,96256,Male,Divorced,Bachelor’s,14,5,1
33,53937,Male,Married,High School,4,8,0
46,119134,Female,Single,Bachelor’s,12,1,0
20,21651,Female,Divorced,Master’s,18,5,1
37,70288,Female,Single,Master’s,11,10,1
53,104730,Female,Single,PhD,20,1,1
36,45051,Female,Single,PhD,4,10,0
43,47386,Male,Divorced,Bachelor’s,5,6,1
20,95054,Male,Divorced,High School,6,7,1
36,131562,Male,Single,PhD,9,5,0
37,36184,Female,Married,Master’s,15,1,0
49,53787,Female,Single,PhD,7,6,0
24,41621,Female,Married,PhD,8,10,0
69,95564,Female,Single,Master’s,3,5,0
58,97984,Female,Single,High School,20,6,0
50,79792,Female,Single,PhD,20,10,1
57,65253,Male,Divorced,PhD,7,7,1
56,54051,Male,Married,PhD,6,7,0
35,69811,Male,Married,Bachelor’s,14,2,1
57,50447,Male,Single,PhD,20,3,0
18,148046,Male,Divorced,Master’s,2,6,1
28,103930,Female,Divorced,High School,16,3,0
45,143278,Female,Married,High School,10,2,0
42,120037,Female,Divorced,Master’s,8,4,1
67,50254,Female,Married,Bachelor’s,4,5,1
40,104045,Female,Married,Master’s,9,10,0
48,136859,Female,Married,High School,14,9,0
47,77418,Male,Divorced,Master’s,13,3,0
59,134534,Female,Married,Bachelor’s,3,3,0
52,34472,Female,Married,High School,20,6,0
24,131193,Female,Single,Bachelor’s,19,5,0
33,23471,Female,Married,Master’s,1,6,1
43,127332,Male,Married,PhD,11,7,1
65,140312,Male,Single,Master’s,0,3,1
69,143379,Female,Single,Bachelor’s,19,5,1
66,115804,Male,Divorced,Master’s,4,8,1
19,28329,Male,Married,PhD,5,4,0
18,54865,Female,Divorced,Bachelor’s,10,10,0
65,66850,Female,Divorced,Master’s,7,2,1
29,74220,Female,Single,Bachelor’s,6,4,0
22,132234,Female,Divorced,Bachelor’s,3,2,1
54,113808,Female,Married,High School,5,3,1
49,128381,Male,Single,High School,15,4,0
26,26397,Female,Married,Bachelor’s,19,4,0
58,117909,Female,Married,Master’s,14,10,1
52,149004,Female,Single,Master’s,13,9,1
36,55525,Male,Married,Master’s,11,10,1
65,73072,Female,Single,PhD,11,6,1
33,110106,Female,Married,Bachelor’s,15,9,0
20,103820,Female,Single,Bachelor’s,14,4,1
37,104530,Male,Divorced,PhD,12,9,0
41,43284,Female,Married,Bachelor’s,10,9,1
50,81330,Female,Single,Bachelor’s,16,6,1
41,103369,Female,Married,PhD,20,5,0
69,45122,Male,Married,High School,14,3,0
28,90553,Female,Married,Bachelor’s,13,5,0
66,101906,Female,Single,PhD,9,3,0
25,114788,Female,Divorced,Master’s,11,5,0
53,82812,Male,Divorced,High School,15,5,1
55,27999,Female,Divorced,Master’s,14,2,1
57,42436,Female,Single,Bachelor’s,9,9,1
37,62963,Female,Divorced,High School,3,7,0
52,22096,Male,Single,PhD,8,6,0
65,149940,Male,Married,Bachelor’s,20,5,0
42,133737,Female,Married,PhD,19,4,1
52,45279,Male,Divorced,High School,8,8,0
42,141092,Male,Single,Master’s,20,2,1
46,128899,Male,Married,Bachelor’s,19,8,1
35,134245,Female,Single,Bachelor’s,10,1,1
63,46201,Female,Single,PhD,10,10,0
35,39715,Male,Married,High School,6,1,1
19,49309,Male,Single,PhD,20,3,1
52,35078,Male,Married,High School,9,5,1
33,76614,Female,Married,Bachelor’s,3,6,0
58,25105,Female,Married,High School,4,4,1
53,137666,Male,Single,Bachelor’s,4,7,0
50,114848,Male,Married,High School,10,7,0
21,22839,Male,Single,Master’s,8,2,1
50,88920,Male,Married,High School,15,2,1
31,63619,Female,Married,Master’s,8,2,0
38,62821,Male,Divorced,High School,3,2,1
65,145736,Female,Divorced,High School,1,9,0
37,33493,Male,Divorced,PhD,13,5,0
25,37069,Male,Single,PhD,2,8,0
24,132443,Male,Single,Bachelor’s,17,5,1
20,27531,Male,Married,PhD,20,5,0
34,57051,Male,Married,High School,5,1,0
50,27736,Female,Married,PhD,10,6,1
65,27710,Male,Married,High School,20,4,1
29,87155,Male,Single,Master’s,17,3,0
68,33975,Male,Married,High School,11,6,0
39,82424,Female,Married,Bachelor’s,4,2,0
39,65603,Female,Divorced,Master’s,8,8,1
63,43252,Female,Married,Bachelor’s,19,1,0
47,100797,Female,Married,Bachelor’s,17,9,0
55,21431,Male,Married,Bachelor’s,18,8,1
55,94603,Male,Single,PhD,2,1,1
62,57481,Male,Divorced,Bachelor’s,8,10,0
68,112573,Female,Married,Master’s,3,9,1
25,29557,Male,Married,High School,16,2,0
44,94971,Male,Divorced,Bachelor’s,16,3,0
44,123302,Female,Married,Master’s,1,2,1
51,20162,Female,Single,Bachelor’s,8,8,0
38,54742,Female,Married,High School,8,2,0
47,39675,Male,Single,Master’s,4,10,1
50,93997,Male,Single,Master’s,14,2,0
45,37015,Female,Married,High School,14,1,1
64,70057,Male,Divorced,Master’s,2,7,0
50,52591,Female,Single,High School,18,2,1
22,113583,Female,Divorced,Master’s,2,10,1
65,146133,Male,Married,Master’s,5,5,1
36,120318,Female,Single,High School,3,5,1
21,29833,Female,Married,High School,12,3,1
52,27896,Female,Divorced,Master’s,12,3,1
66,52972,Male,Married,Master’s,10,3,0
34,69733,Female,Married,High School,4,6,0
61,140363,Female,Single,PhD,0,4,1
45,61800,Female,Married,High School,8,3,0
47,116044,Female,Married,Master’s,16,2,1
46,25347,Female,Married,Master’s,0,3,1
63,79063,Female,Single,Master’s,2,4,0
70,115850,Female,Divorced,High School,14,6,1
23,22643,Male,Divorced,Master’s,20,4,0
52,60785,Male,Married,PhD,9,8,1
58,38681,Female,Single,Bachelor’s,7,3,1
54,70026,Male,Married,PhD,11,3,0
41,123864,Male,Divorced,High School,14,3,1
46,35892,Female,Single,Master’s,8,8,1
66,67299,Male,Divorced,High School,9,4,1
63,37073,Female,Divorced,Bachelor’s,19,1,0
70,122304,Female,Single,High School,8,2,0
48,50682,Female,Single,Master’s,14,10,0
52,117798,Female,Married,Bachelor’s,20,2,0
50,146021,Female,Married,Bachelor’s,20,3,0
69,116894,Male,Divorced,Master’s,0,6,1
38,144302,Female,Single,Master’s,1,8,0
49,34289,Male,Single,Master’s,18,1,0
40,135359,Female,Married,High School,13,9,1
50,27927,Female,Divorced,PhD,7,1,1
20,68330,Female,Divorced,High School,5,10,0
35,86707,Male,Married,High School,11,2,1
42,140279,Female,Single,PhD,14,3,1
59,97454,Female,Married,Master’s,13,7,1
48,127439,Female,Married,Master’s,20,9,0
20,124646,Female,Married,PhD,0,3,1
57,85428,Male,Married,PhD,10,8,1
63,70601,Female,Single,High School,2,9,0
41,97465,Male,Married,Bachelor’s,18,10,1
67,22539,Female,Single,PhD,17,7,1
49,122263,Male,Married,High School,19,4,0
64,131487,Male,Divorced,Bachelor’s,1,4,0
39,42669,Female,Single,Master’s,6,4,0
40,90968,Female,Divorced,Master’s,7,6,1
19,40644,Male,Married,High School,18,4,0
44,38745,Female,Married,High School,14,5,0
59,140852,Female,Married,PhD,9,9,1
19,148081,Female,Single,Master’s,0,7,1
43,48228,Male,Divorced,High School,5,8,1
34,138358,Female,Single,Master’s,12,5,1
57,54521,Female,Single,Master’s,13,5,1
50,142788,Female,Married,PhD,2,7,0
26,117239,Male,Divorced,Bachelor’s,10,8,0
60,46928,Female,Married,PhD,2,9,0
65,38322,Male,Single,High School,18,2,1
56,77714,Female,Married,PhD,9,3,0
46,107896,Male,Divorced,PhD,14,2,1
59,82292,Female,Married,Master’s,10,10,1
43,49055,Female,Divorced,PhD,14,7,0
52,62891,Male,Divorced,High School,12,2,0
67,101912,Male,Married,Bachelor’s,4,2,1
42,26588,Male,Single,PhD,3,2,1
41,110536,Female,Married,PhD,12,4,0
30,26304,Female,Single,Bachelor’s,8,1,0
24,27345,Female,Single,High School,16,2,1
53,49300,Female,Married,High School,1,3,1
62,44259,Male,Single,PhD,4,7,1
37,111006,Female,Single,Master’s,15,10,1
18,108553,Female,Married,PhD,6,1,0
25,35352,Female,Married,Bachelor’s,0,6,0
63,149350,Female,Married,Bachelor’s,11,3,1
33,53365,Female,Single,Bachelor’s,20,3,1
31,39446,Female,Divorced,PhD,10,4,0
29,22336,Female,Single,PhD,11,4,1
68,82032,Male,Divorced,High School,18,7,1
40,95415,Female,Married,Master’s,11,3,1
32,117852,Female,Divorced,PhD,11,8,1
45,118876,Female,Married,High School,13,8,1
51,27521,Female,Married,PhD,1,7,1
19,91707,Male,Divorced,High School,1,2,0
49,43481,Male,Married,High School,3,5,1
40,38474,Male,Divorced,Master’s,19,6,0
39,66760,Male,Married,PhD,15,10,0
68,75718,Male,Single,High School,9,4,0
42,64629,Male,Single,Bachelor’s,12,10,1
39,65232,Female,Married,Bachelor’s,1,5,1
39,106544,Male,Married,Bachelor’s,2,9,1
66,87169,Male,Divorced,Master’s,18,7,0
69,147941,Female,Single,High School,5,2,0
59,70669,Male,Divorced,Master’s,18,1,1
23,98021,Female,Married,PhD,20,2,1
32,129153,Female,Married,PhD,19,3,0
60,89184,Male,Divorced,High School,18,2,0
54,67945,Female,Married,Bachelor’s,7,3,0
50,33140,Male,Single,High School,13,10,1
25,146468,Male,Divorced,High School,9,9,0
70,103457,Female,Single,High School,2,4,0
61,34357,Female,Single,Master’s,5,9,0
61,131672,Male,Single,PhD,14,3,1
22,88673,Female,Divorced,High School,17,1,1
56,141673,Female,Married,High School,13,5,1
21,85633,Male,Single,High School,18,10,0
23,96943,Male,Single,Master’s,9,10,0
62,116111,Female,Single,Master’s,14,2,0
49,98258,Male,Married,Master’s,3,4,0
69,32924,Male,Married,High School,1,2,1
47,89286,Male,Divorced,Bachelor’s,2,2,0
64,113269,Male,Married,Bachelor’s,6,3,0
52,147563,Male,Divorced,Bachelor’s,15,5,1
57,94071,Male,Divorced,PhD,9,4,0
69,77326,Male,Divorced,High School,18,2,0
33,110023,Female,Divorced,Bachelor’s,16,10,0
30,140101,Male,Divorced,Bachelor’s,18,2,1
67,50651,Female,Single,Bachelor’s,4,6,0
59,90202,Female,Married,High School,19,7,1
47,68777,Female,Single,Bachelor’s,12,10,0
36,36994,Male,Divorced,Bachelor’s,12,6,1
34,87263,Male,Married,High School,10,7,1
36,79634,Female,Single,PhD,10,1,1
45,120158,Male,Single,Master’s,15,6,0
43,30800,Female,Divorced,Bachelor’s,14,3,0
54,57823,Male,Single,Master’s,16,1,1
43,128575,Male,Single,PhD,17,8,1
70,83878,Female,Single,PhD,18,4,0
40,38708,Female,Single,Bachelor’s,3,10,1
26,32819,Female,Single,High School,4,8,0
29,94905,Male,Divorced,PhD,6,10,0
70,83870,Female,Divorced,Master’s,1,4,1
18,29283,Male,Single,Master’s,0,4,1
18,50573,Male,Divorced,Master’s,11,10,0
64,98707,Male,Divorced,Master’s,9,4,0
51,50933,Female,Married,PhD,7,6,0
49,25774,Female,Single,Bachelor’s,0,9,1
65,92055,Female,Divorced,Bachelor’s,11,5,0
42,30983,Male,Divorced,Master’s,1,10,1
57,116468,Male,Single,Bachelor’s,9,8,1
62,116334,Female,Married,Master’s,16,8,0
70,38133,Male,Single,Master’s,2,4,1
18,145555,Male,Married,High School,6,10,1
33,34939,Female,Single,PhD,11,9,1
56,20781,Female,Single,PhD,7,9,1
22,134586,Female,Single,Master’s,19,5,0
39,76700,Male,Single,PhD,11,6,0
46,47624,Male,Married,Bachelor’s,2,5,1
20,26823,Male,Married,Master’s,16,3,1
29,38489,Male,Divorced,High School,8,8,1
43,138555,Male,Single,Bachelor’s,9,9,1
33,59961,Female,Married,High School,5,4,1
68,139664,Male,Married,High School,0,9,0
54,49118,Male,Married,PhD,11,9,0
39,120417,Male,Single,PhD,4,7,0
46,101816,Female,Divorced,Master’s,12,8,0
31,42263,Female,Married,PhD,14,3,1
45,33565,Female,Single,High School,10,5,1
22,40354,Male,Married,High School,7,3,0
64,62951,Female,Married,Bachelor’s,4,7,0
66,111179,Female,Divorced,High School,1,6,0
47,43648,Female,Married,Master’s,11,3,1
63,70729,Male,Married,Master’s,1,9,1
69,61971,Female,Single,PhD,15,1,1
22,38658,Male,Single,PhD,20,10,0
29,41253,Male,Divorced,PhD,2,3,0
33,84166,Female,Single,Master’s,9,10,1
43,68563,Male,Single,High School,18,7,1
43,46390,Female,Divorced,PhD,7,3,1
65,108664,Male,Married,Bachelor’s,6,3,0
38,71578,Female,Divorced,PhD,0,2,1
56,99025,Female,Single,Master’s,11,9,1
53,123850,Female,Divorced,PhD,4,4,0
50,52658,Male,Married,High School,15,10,1
47,26852,Female,Divorced,PhD,3,6,1
54,147282,Male,Single,Master’s,16,2,1
40,114986,Female,Single,Master’s,20,9,1
27,22551,Male,Divorced,Bachelor’s,1,7,0
22,91947,Male,Married,Master’s,11,10,1
53,81001,Female,Divorced,Bachelor’s,0,5,0
51,69159,Female,Married,High School,11,7,1
69,142775,Female,Married,Master’s,11,4,0
48,71707,Female,Divorced,PhD,11,10,1
27,53243,Female,Married,High School,18,7,1
36,41800,Male,Single,PhD,16,2,0
49,95939,Female,Divorced,PhD,19,7,1
18,77828,Female,Married,PhD,10,4,1
22,27239,Male,Single,High School,12,4,0
62,26710,Female,Divorced,High School,7,1,1
21,41384,Female,Single,Master’s,9,3,1
33,41038,Male,Single,PhD,7,5,1
41,60846,Female,Single,Bachelor’s,19,5,1
33,107983,Female,Married,Master’s,7,2,1
19,87821,Female,Divorced,High School,8,4,0
66,57991,Male,Divorced,Bachelor’s,6,1,0
45,99057,Female,Married,High School,13,9,1
49,133193,Male,Divorced,Bachelor’s,1,1,1
44,26971,Female,Single,Master’s,10,6,0
37,49139,Male,Divorced,Bachelor’s,7,7,0
41,105445,Female,Married,Master’s,12,3,0
29,97067,Male,Single,High School,20,1,0
67,100257,Male,Married,Bachelor’s,14,7,0
52,104742,Male,Single,PhD,2,3,0
50,57711,Male,Single,PhD,13,10,1
50,26530,Male,Divorced,High School,14,6,1
68,31116,Male,Single,Bachelor’s,1,6,1
60,85794,Female,Married,PhD,18,4,1
54,20282,Female,Divorced,Master’s,11,6,1
29,99473,Male,Married,Bachelor’s,19,10,0
20,21898,Male,Single,Bachelor’s,3,4,0
18,24135,Male,Married,PhD,2,8,0
50,26629,Male,Married,Master’s,4,9,0
57,129472,Female,Single,Master’s,2,2,0
27,145147,Male,Divorced,Master’s,14,7,0
60,105120,Female,Married,Bachelor’s,18,9,1
61,139798,Female,Single,High School,1,9,1
46,109087,Male,Divorced,Bachelor’s,11,5,0
30,85031,Male,Divorced,Bachelor’s,4,1,1
29,53380,Female,Divorced,PhD,16,6,0
48,149951,Female,Married,High School,13,8,1
63,132507,Male,Married,Master’s,9,1,0
19,37071,Male,Married,PhD,2,2,0
68,40074,Male,Divorced,Bachelor’s,3,1,1
67,110724,Female,Married,High School,5,5,0
52,87843,Female,Single,Master’s,15,2,1
40,59901,Male,Married,Master’s,6,10,1
34,31205,Female,Married,Bachelor’s,14,10,0
43,75661,Female,Divorced,Master’s,20,4,0
25,144661,Male,Married,Master’s,19,1,0
46,25906,Male,Single,High School,10,7,1
43,22591,Female,Divorced,PhD,20,8,1
27,145576,Female,Single,High School,0,5,0
43,82987,Male,Divorced,PhD,4,2,0
51,83370,Male,Divorced,PhD,12,8,0
68,100685,Male,Married,PhD,20,1,0
58,130454,Male,Single,Master’s,13,7,0
24,125487,Male,Divorced,High School,8,1,0
21,74400,Female,Married,Master’s,16,6,0
70,45150,Female,Divorced,Bachelor’s,14,6,1
67,51852,Female,Divorced,High School,20,5,1
62,62870,Female,Divorced,PhD,6,2,0
28,139796,Male,Divorced,Master’s,11,2,0
46,72756,Male,Divorced,Master’s,5,9,1
53,135357,Male,Divorced,High School,20,5,0
42,139052,Female,Married,High School,15,5,1
38,76481,Female,Divorced,PhD,4,7,1
